method,h,error,c
InvMQ_poly,0.00625,3.81E-06,1.7
Gauss_poly,0.00625,3.81E-06,1.7
MQ_poly,0.2,0.003950499,1.8
InvMQ_poly,0.2,0.004150603,1.8
Gauss_poly,0.2,0.004036862,1.8
MQ_poly,0.1,0.000978535,1.8
InvMQ_poly,0.1,0.000992316,1.8
Gauss_poly,0.1,0.000983973,1.8
MQ_poly,0.05,0.000244034,1.8
InvMQ_poly,0.05,0.000244918,1.8
Gauss_poly,0.05,0.000244375,1.8
MQ_poly,0.025,6.10E-05,1.8
InvMQ_poly,0.025,6.10E-05,1.8
Gauss_poly,0.025,6.10E-05,1.8
MQ_poly,0.0125,1.52E-05,1.8
InvMQ_poly,0.0125,1.52E-05,1.8
Gauss_poly,0.0125,1.52E-05,1.8
MQ_poly,0.00625,3.81E-06,1.8
InvMQ_poly,0.00625,3.81E-06,1.8
Gauss_poly,0.00625,3.81E-06,1.8
MQ_poly,0.2,0.003953464,1.9
InvMQ_poly,0.2,0.004174113,1.9
Gauss_poly,0.2,0.004049233,1.9
MQ_poly,0.1,0.000978742,1.9
InvMQ_poly,0.1,0.000994019,1.9
Gauss_poly,0.1,0.000984775,1.9
MQ_poly,0.05,0.000244048,1.9
InvMQ_poly,0.05,0.000245028,1.9
Gauss_poly,0.05,0.000244425,1.9
MQ_poly,0.025,6.10E-05,1.9
InvMQ_poly,0.025,6.10E-05,1.9
Gauss_poly,0.025,6.10E-05,1.9
MQ_poly,0.0125,1.52E-05,1.9
InvMQ_poly,0.0125,1.52E-05,1.9
Gauss_poly,0.0125,1.52E-05,1.9
MQ_poly,0.00625,3.81E-06,1.9
InvMQ_poly,0.00625,3.81E-06,1.9
Gauss_poly,0.00625,3.81E-06,1.9
MQ_poly,0.2,0.003956548,2
InvMQ_poly,0.2,0.004198579,2
Gauss_poly,0.2,0.004062199,2
MQ_poly,0.1,0.000978958,2
InvMQ_poly,0.1,0.000995806,2
Gauss_poly,0.1,0.000985618,2
MQ_poly,0.05,0.000244062,2
InvMQ_poly,0.05,0.000245145,2
Gauss_poly,0.05,0.000244479,2
MQ_poly,0.025,6.10E-05,2
InvMQ_poly,0.025,6.10E-05,2
Gauss_poly,0.025,6.10E-05,2
MQ_poly,0.0125,1.52E-05,2
InvMQ_poly,0.0125,1.52E-05,2
Gauss_poly,0.0125,1.52E-05,2
MQ_poly,0.00625,3.81E-06,2
InvMQ_poly,0.00625,3.81E-06,2
Gauss_poly,0.00625,3.81E-06,2
MQ_poly,0.2,0.003959749,2.1
InvMQ_poly,0.2,0.004223976,2.1
Gauss_poly,0.2,0.004075754,2.1
MQ_poly,0.1,0.000979184,2.1
InvMQ_poly,0.1,0.000997675,2.1
Gauss_poly,0.1,0.000986501,2.1
MQ_poly,0.05,0.000244076,2.1
InvMQ_poly,0.05,0.000245266,2.1
Gauss_poly,0.05,0.000244534,2.1
MQ_poly,0.025,6.10E-05,2.1
InvMQ_poly,0.025,6.10E-05,2.1
Gauss_poly,0.025,6.10E-05,2.1
